V1	V8_1_1	V8_1_2	Fraction
MA1990.1_Gli1	3	0.00197	0.15
MA1991.1_Hnf1A	1	0.0225	0.05
MA1992.1_Ikzf3	19	7.21e-06	0.95
MA1993.1_Neurod2	7	0.000695	0.35
MA1994.1_Nkx2-1	1	0.00298	0.05
MA1996.1_Nr1H2	1	0.0485	0.05
MA1997.1_Olig2	7	0.00277	0.35
MA1998.1_Prdm14	3	0.00469	0.15
MA1999.1_Prdm5	4	0.00245	0.2
MA2002.1_Zfp335	1	0.0219	0.05
MA2003.1_NKX2-4	1	0.00637	0.05
