logFC	logCPM	PValue	FDR	TE	Control_CPM_median	Exposure_CPM_median	group	Type	Sex	Subfamily	Family	Class
-0.102685275	1.095137578	0.789430107	0.855815581	Charlie23a:hAT-Charlie:DNA	2.066600298	1.839611399	AL_RNA_TCDD_F	TCDD	F	Charlie23a	hAT-Charlie	DNA
0.089162079	0.333888821	0.790187109	0.855815581	Eulor2A:DNA?:DNA?	0.868010908	0.911710544	AL_RNA_TCDD_F	TCDD	F	Eulor2A	DNA?	DNA
0.088131649	0.840899855	0.790238421	0.855815581	Eulor5A:DNA?:DNA?	1.367854705	1.694640972	AL_RNA_TCDD_F	TCDD	F	Eulor5A	DNA?	DNA
-0.13218986	1.065868902	0.790827613	0.855815581	LTR53B:ERVL:LTR	1.545997042	1.690032773	AL_RNA_TCDD_F	TCDD	F	LTR53B	ERVL	LTR
0.061622744	4.910579934	0.787264342	0.855815581	MER73:ERVL:LTR	27.4344355	19.85032797	AL_RNA_TCDD_F	TCDD	F	MER73	ERVL	LTR
0.076609214	1.205667192	0.793659358	0.857964381	Charlie15b:hAT-Charlie:DNA	1.841081638	2.429473093	AL_RNA_TCDD_F	TCDD	F	Charlie15b	hAT-Charlie	DNA
-0.120269961	1.396364627	0.799086852	0.862911681	L1ME3C:L1:LINE	1.972855673	1.947173075	AL_RNA_TCDD_F	TCDD	F	L1ME3C	L1	LINE
0.044356518	7.950074003	0.80244559	0.864129207	L1MA9:L1:LINE	235.9625568	241.2918492	AL_RNA_TCDD_F	TCDD	F	L1MA9	L1	LINE
-0.060471849	7.959870626	0.802770921	0.864129207	L1MC5:L1:LINE	231.1272529	230.581003	AL_RNA_TCDD_F	TCDD	F	L1MC5	L1	LINE
-0.069515433	4.401349552	0.802757197	0.864129207	MamRep4096:hAT?:DNA	20.22497812	21.24832483	AL_RNA_TCDD_F	TCDD	F	MamRep4096	hAT?	DNA
-0.096777262	2.669081418	0.806365929	0.866160013	BGLII_C:ERVK:LTR	5.513883571	5.763235477	AL_RNA_TCDD_F	TCDD	F	BGLII_C	ERVK	LTR
-0.11995751	0.409420876	0.805761043	0.866160013	tRNA-Pro-CCY:tRNA:tRNA	0.943083857	0.937939489	AL_RNA_TCDD_F	TCDD	F	tRNA-Pro-CCY	tRNA	tRNA
-0.071012915	2.740902528	0.808868864	0.86792913	ERVL-int:ERVL:LTR	6.290104966	6.710824773	AL_RNA_TCDD_F	TCDD	F	ERVL-int	ERVL	LTR
-0.051971249	5.028868266	0.814549411	0.873100532	Lx2A1:L1:LINE	31.9864587	26.80801083	AL_RNA_TCDD_F	TCDD	F	Lx2A1	L1	LINE
0.047005216	3.575516033	0.824818698	0.883174404	RLTR13A1:ERVK:LTR	10.9331669	9.233589669	AL_RNA_TCDD_F	TCDD	F	RLTR13A1	ERVK	LTR
-0.057711427	9.961619162	0.833823919	0.891874951	MLT2F:ERVL:LTR	948.5948447	824.9075872	AL_RNA_TCDD_F	TCDD	F	MLT2F	ERVL	LTR
-0.063642703	3.500530834	0.835462313	0.892685759	ERVB7_3-LTR_MM:ERVK:LTR	10.0962473	8.912797262	AL_RNA_TCDD_F	TCDD	F	ERVB7_3-LTR_MM	ERVK	LTR
-0.057392235	2.823464516	0.838238901	0.894709732	MER57D:ERV1:LTR	6.605041011	6.692687287	AL_RNA_TCDD_F	TCDD	F	MER57D	ERV1	LTR
0.036771822	4.904973822	0.842922908	0.898763227	RMER20C_Mm:ERVK:LTR	29.19228014	28.71694177	AL_RNA_TCDD_F	TCDD	F	RMER20C_Mm	ERVK	LTR
-0.088793923	1.021328578	0.843894573	0.898854093	L1M6B:L1:LINE	1.635006138	1.426236915	AL_RNA_TCDD_F	TCDD	F	L1M6B	L1	LINE
