logFC	logCPM	PValue	FDR	TE	Control_CPM_median	Exposure_CPM_median	group	Type	Sex	Subfamily	Class
0.024878086	6.343709814	0.376988867	0.516406951	RMER16B2	81.01743082	83.52580039	ZB_ATAC_As_F	As	F	RMER16B2	LTR
0.029753305	6.122894526	0.381166781	0.519398506	ERVB3_1-I_MM-int	70.04373334	70.04340068	ZB_ATAC_As_F	As	F	ERVB3_1-I_MM-int	LTR
0.023287865	6.850765197	0.38141876	0.519398506	LTR16E2	114.7350976	115.2236795	ZB_ATAC_As_F	As	F	LTR16E2	LTR
0.017853542	8.890757952	0.381048551	0.519398506	RLTR13C2	473.1020698	473.7520004	ZB_ATAC_As_F	As	F	RLTR13C2	LTR
-0.012200504	9.579454163	0.380236807	0.519398506	RMER2	766.565029	762.7280389	ZB_ATAC_As_F	As	F	RMER2	LTR
0.024702522	6.665360016	0.383945803	0.522203659	RLTR13A2	101.4672851	102.2175368	ZB_ATAC_As_F	As	F	RLTR13A2	LTR
-0.01452467	9.39917941	0.385178849	0.523244171	RMER3D-int	676.837761	673.5950034	ZB_ATAC_As_F	As	F	RMER3D-int	LTR
0.017352437	8.33697579	0.387807225	0.526175337	L1ME2z	323.8866171	327.1366378	ZB_ATAC_As_F	As	F	L1ME2z	LINE
0.037981131	5.493493193	0.390638156	0.528093662	HERVL74-int	44.24608139	46.38557234	ZB_ATAC_As_F	As	F	HERVL74-int	LTR
0.056759093	3.795491857	0.390195501	0.528093662	LTR68	13.70407714	14.08862138	ZB_ATAC_As_F	As	F	LTR68	LTR
0.143805261	1.008069975	0.390245609	0.528093662	MLT1E3-int	1.790289937	1.798585746	ZB_ATAC_As_F	As	F	MLT1E3-int	LTR
0.020022174	7.41809195	0.396141097	0.534240949	MTE2a-int	170.5647298	175.1441337	ZB_ATAC_As_F	As	F	MTE2a-int	LTR
0.041878301	5.003071155	0.396910639	0.534633849	X7A_LINE	32.09898688	32.57372571	ZB_ATAC_As_F	As	F	X7A_LINE	LINE
-0.007143535	13.0373445	0.401217458	0.539784739	MTC	8406.836051	8400.498284	ZB_ATAC_As_F	As	F	MTC	LTR
